elevators_inst_mdp__10,6,6,351564,1535.8605870769231,39,-111.1025641025641,original-elevators_inst_mdp__10=/127.0.0.1;original-elevators_inst_mdp__10=/127.0.0.1;original-elevators_inst_mdp__10=/127.0.0.1;original-elevators_inst_mdp__10=/127.0.0.1;original-elevators_inst_mdp__10=/127.0.0.1;original-elevators_inst_mdp__10=/127.0.0.1;,-18.0,40.68569796705475,1655.3260190664032,-104.0,-97.75,-62.5,-142.75,-168.0,-144.5,-145.0,-130.25,-110.25,-117.5,-169.5,-142.0,-98.25,-120.5,-143.25,-18.0,-95.0,-161.0,-135.0,-107.0,-66.0,-101.75,-99.25,-105.0,-28.0,-144.25,-104.0,-81.0,-111.0,-123.75,-117.25,-88.0,-34.25,-48.25,-155.0,-60.25,-94.0,-155.0,-205.0,
skill_teaching_inst_mdp__1,6,6,363948,1346.756262153846,39,64.33899401282054,original-skill_teaching_inst_mdp__1=/127.0.0.1;original-skill_teaching_inst_mdp__1=/127.0.0.1;original-skill_teaching_inst_mdp__1=/127.0.0.1;original-skill_teaching_inst_mdp__1=/127.0.0.1;original-skill_teaching_inst_mdp__1=/127.0.0.1;original-skill_teaching_inst_mdp__1=/127.0.0.1;,82.02293620000005,12.486975103159226,155.92454722691835,60.82199260000002,79.44016020000004,74.61528160000003,58.125658800000004,55.08865160000002,74.61528160000003,71.13856990000004,66.08657570000003,78.26233000000003,79.44016020000004,76.13378520000003,81.90937840000004,82.02293620000005,72.25962120000003,65.30619780000002,70.13107640000001,54.97509380000001,50.88834090000001,65.97301790000003,46.57447240000001,79.66727580000004,72.54351570000003,49.369837300000015,81.79582060000004,57.784985400000025,56.380039600000025,59.97030910000002,62.26919060000003,78.48944560000004,73.77812480000003,64.12836760000002,55.202209400000015,52.00939220000002,64.73840880000003,36.8111574,57.67142760000003,58.12565880000002,54.478610400000015,30.198407400000008,
skill_teaching_inst_mdp__2,6,6,364166,1381.5261025641023,39,77.15520360512822,original-skill_teaching_inst_mdp__2=/127.0.0.1;original-skill_teaching_inst_mdp__2=/127.0.0.1;original-skill_teaching_inst_mdp__2=/127.0.0.1;original-skill_teaching_inst_mdp__2=/127.0.0.1;original-skill_teaching_inst_mdp__2=/127.0.0.1;original-skill_teaching_inst_mdp__2=/127.0.0.1;,97.50420900000009,14.319967385544173,205.06146592304881,83.19883140000005,91.77362680000007,87.35976170000006,53.35567070000002,68.7880643,74.58188020000003,83.24098720000006,46.013280800000004,64.75360140000001,88.84510200000005,94.61784000000009,88.92941360000006,80.31246240000004,88.84510200000005,51.78601880000001,94.53352840000008,87.46515120000007,77.59471660000003,71.73766700000002,60.40297000000001,77.46824920000003,85.95873300000005,97.50420900000009,81.86103640000005,44.717641600000015,93.09034390000008,88.92941360000006,77.42609340000004,77.51040500000002,64.50066660000002,88.88725780000007,60.52943740000002,87.50730700000005,78.97466740000004,91.77362680000007,70.39987200000002,51.786018800000015,86.08520040000005,66.0070848,
skill_teaching_inst_mdp__3,6,6,366688,1424.9632299487178,39,24.677929158974365,original-skill_teaching_inst_mdp__3=/127.0.0.1;original-skill_teaching_inst_mdp__3=/127.0.0.1;original-skill_teaching_inst_mdp__3=/127.0.0.1;original-skill_teaching_inst_mdp__3=/127.0.0.1;original-skill_teaching_inst_mdp__3=/127.0.0.1;original-skill_teaching_inst_mdp__3=/127.0.0.1;,162.80930000000004,80.04062197638797,6406.50116636704,14.459777600000013,-81.3929792000001,-79.9266226,-181.56109520000007,162.80930000000004,49.74450080000001,-43.19154019999998,-158.77311120000002,19.907310999999986,-8.221823400000044,51.354274599999975,59.8077006,123.74514980000004,86.54907900000003,-16.560608000000023,32.01162320000003,-15.200865600000022,108.48449200000002,75.84815700000001,-15.23314919999997,44.1807094,56.75128139999999,-79.802671,97.26553080000002,-81.52194220000001,76.19693620000002,8.361482800000005,145.59781240000004,-3.2782000000000373,-43.77009920000003,106.585353,52.66255740000004,11.754658399999997,52.15005479999999,-27.983737399999995,127.01198560000002,-14.623181200000012,141.19737300000003,109.04376199999996,
skill_teaching_inst_mdp__4,6,6,366733,1367.8661442051284,39,34.131874389743594,original-skill_teaching_inst_mdp__4=/127.0.0.1;original-skill_teaching_inst_mdp__4=/127.0.0.1;original-skill_teaching_inst_mdp__4=/127.0.0.1;original-skill_teaching_inst_mdp__4=/127.0.0.1;original-skill_teaching_inst_mdp__4=/127.0.0.1;original-skill_teaching_inst_mdp__4=/127.0.0.1;,179.96780660000002,81.18862040020674,6591.592082488866,55.42264020000001,16.520549800000033,-65.17454440000003,-116.68791519999999,117.19598939999995,20.500635799999984,63.3855366,-43.131057600000005,124.91785059999997,27.206526000000025,77.7476308,31.692749399999997,78.67434120000001,133.8090394,-52.686238000000024,18.337860000000028,-28.288175000000045,-41.87951399999997,5.007923200000057,45.743332800000054,101.86031259999996,-51.54439440000002,124.82697019999996,-167.53571239999985,126.18901839999995,-155.60220960000015,-31.34991179999999,20.121548000000026,103.65830179999998,26.39355660000004,125.27707279999996,179.96780660000002,103.55585839999998,71.41458840000004,96.97857900000002,-31.14006379999998,103.95072759999995,10.190106000000043,105.61578579999998,
skill_teaching_inst_mdp__5,6,6,371462,1443.7265454358974,39,-83.48954022564102,original-skill_teaching_inst_mdp__5=/127.0.0.1;original-skill_teaching_inst_mdp__5=/127.0.0.1;original-skill_teaching_inst_mdp__5=/127.0.0.1;original-skill_teaching_inst_mdp__5=/127.0.0.1;original-skill_teaching_inst_mdp__5=/127.0.0.1;original-skill_teaching_inst_mdp__5=/127.0.0.1;,135.98815660000005,108.84553949324196,11847.351467574896,135.98815660000005,5.517400600000073,131.55068179999998,13.04104019999999,-77.33316420000006,78.57124700000001,-212.7663996,-46.43882360000005,1.724615399999962,-140.7932942,-35.01961080000003,-125.13119379999988,26.103402000000006,-140.61350339999993,43.05026039999997,-266.2276315999999,-48.613674599999996,-263.0709956000002,-85.67430039999999,-39.70721080000001,-311.7719387999999,-95.57237460000002,-135.00078799999997,-136.39493599999997,-173.21752559999996,-38.976833799999994,-190.83972440000002,68.89258380000004,-99.27625139999992,-186.7153316,-120.19567459999993,-5.483274200000039,40.79755059999996,-242.26082639999996,-62.35112299999997,-9.64610639999999,-168.5848809999999,-148.55477820000002,-195.09683660000013,
tamarisk_inst_mdp__1,6,6,373825,1353.0257483076928,39,-399.0953846153848,original-tamarisk_inst_mdp__1=/127.0.0.1;original-tamarisk_inst_mdp__1=/127.0.0.1;original-tamarisk_inst_mdp__1=/127.0.0.1;original-tamarisk_inst_mdp__1=/127.0.0.1;original-tamarisk_inst_mdp__1=/127.0.0.1;original-tamarisk_inst_mdp__1=/127.0.0.1;,-115.10999999999997,184.1471292179464,33910.16519921105,-130.82,-661.83,-549.7800000000001,-226.5500000000002,-728.4400000000002,-337.29999999999995,-414.83000000000004,-159.84000000000012,-167.96000000000018,-355.36000000000007,-374.8700000000002,-150.60000000000008,-539.5900000000001,-569.9300000000002,-358.4800000000002,-345.7900000000001,-590.3900000000002,-174.38000000000008,-309.9000000000001,-633.6900000000002,-703.34,-404.1200000000001,-434.01000000000005,-155.63000000000017,-353.2200000000001,-327.4000000000001,-632.48,-524.34,-115.10999999999997,-526.3199999999998,-779.2400000000001,-304.12000000000023,-483.0900000000001,-304.77000000000015,-262.1700000000002,-185.82000000000008,-543.12,-207.31000000000017,-538.7800000000001,
tamarisk_inst_mdp__2,6,6,399340,1536.6599903589745,39,-896.6746153846153,original-tamarisk_inst_mdp__2=/127.0.0.1;original-tamarisk_inst_mdp__2=/127.0.0.1;original-tamarisk_inst_mdp__2=/127.0.0.1;original-tamarisk_inst_mdp__2=/127.0.0.1;original-tamarisk_inst_mdp__2=/127.0.0.1;original-tamarisk_inst_mdp__2=/127.0.0.1;,-819.2100000000002,41.32132465212017,1707.4518710059137,-978.92,-912.5799999999999,-842.99,-864.02,-830.0100000000002,-838.3900000000001,-907.8200000000002,-912.0,-836.62,-910.66,-919.0200000000001,-940.1,-927.53,-825.22,-910.5600000000002,-910.38,-860.87,-918.5500000000001,-899.8600000000002,-891.5500000000001,-938.6700000000001,-919.9300000000001,-953.5,-871.78,-928.5,-928.8099999999998,-951.8400000000001,-821.9700000000003,-913.7900000000001,-849.2800000000001,-914.32,-957.2299999999998,-923.07,-819.2100000000002,-884.4000000000002,-866.6100000000002,-920.5200000000001,-907.5300000000001,-861.7,
tamarisk_inst_mdp__3,6,6,396795,1511.6366732307695,39,-687.5164102564103,original-tamarisk_inst_mdp__3=/127.0.0.1;original-tamarisk_inst_mdp__3=/127.0.0.1;original-tamarisk_inst_mdp__3=/127.0.0.1;original-tamarisk_inst_mdp__3=/127.0.0.1;original-tamarisk_inst_mdp__3=/127.0.0.1;original-tamarisk_inst_mdp__3=/127.0.0.1;,-220.20000000000024,213.8053640339218,45712.73368967782,-513.45,-704.6800000000001,-792.19,-893.7499999999999,-907.36,-663.0500000000001,-614.3600000000001,-660.4599999999998,-537.2,-640.8300000000002,-849.96,-365.25000000000006,-750.48,-974.09,-770.64,-971.3200000000002,-702.8299999999999,-603.2700000000001,-948.9799999999999,-820.4200000000001,-262.9100000000001,-264.90000000000015,-1013.88,-772.28,-798.2400000000001,-220.20000000000024,-514.6000000000001,-764.97,-679.2,-790.9499999999999,-418.28000000000003,-421.7200000000001,-975.0600000000001,-659.85,-513.9200000000001,-398.27000000000015,-794.4200000000001,-938.4299999999998,-926.4899999999998,
tamarisk_inst_mdp__4,6,6,435679,1622.2289015384615,39,-1147.2510256410258,original-tamarisk_inst_mdp__4=/127.0.0.1;original-tamarisk_inst_mdp__4=/127.0.0.1;original-tamarisk_inst_mdp__4=/127.0.0.1;original-tamarisk_inst_mdp__4=/127.0.0.1;original-tamarisk_inst_mdp__4=/127.0.0.1;original-tamarisk_inst_mdp__4=/127.0.0.1;,-1041.0199999999998,45.556787149208866,2075.420855358322,-1119.8400000000001,-1125.48,-1163.43,-1171.51,-1202.8799999999999,-1181.68,-1180.21,-1103.7299999999996,-1122.78,-1169.2399999999998,-1153.1,-1148.8999999999999,-1192.41,-1195.9900000000002,-1068.15,-1074.33,-1144.57,-1205.17,-1170.0400000000002,-1059.52,-1079.11,-1077.9899999999998,-1190.5200000000002,-1171.01,-1185.77,-1139.83,-1106.4099999999999,-1208.5700000000002,-1118.4600000000003,-1099.35,-1159.51,-1192.1499999999999,-1041.0199999999998,-1184.55,-1201.6200000000001,-1127.4199999999998,-1194.22,-1170.22,-1142.1,
