clientname,Time cost,Average memory,Number of runs,Average reward
sogbred-finned-blue-eye_inst_mdp__14,2140878,181.94591850666663,75,8622.0
sogbred-finned-blue-eye_inst_mdp__14,2133945,178.92846698666665,75,8622.0
sogbred-finned-blue-eye_inst_mdp__15,2184642,165.07452618666665,75,4429.6
sogbred-finned-blue-eye_inst_mdp__15,2177865,185.2472859733333,75,4429.6
sogbred-finned-blue-eye_inst_mdp__15,2171009,178.32827829333328,75,4429.6
sogbred-finned-blue-eye_inst_mdp__15,2163956,169.27095103999997,75,4429.6
sogbred-finned-blue-eye_inst_mdp__15,2157344,181.84900682666665,75,4429.6
sogbred-finned-blue-eye_inst_mdp__16,2795609,217.65730506666668,75,18958.666666666668
sogbred-finned-blue-eye_inst_mdp__16,2788610,218.6516471466667,75,18958.666666666668
sogbred-finned-blue-eye_inst_mdp__16,2781565,205.75791648000003,75,18958.666666666668
sogbred-finned-blue-eye_inst_mdp__16,2774460,208.58336501333335,75,18958.666666666668
sogbred-finned-blue-eye_inst_mdp__16,2767427,199.6441776,75,18958.666666666668
sogbred-finned-blue-eye_inst_mdp__17,3017944,181.84233055999997,75,15802.0
sogbred-finned-blue-eye_inst_mdp__17,3010660,201.25305557333334,75,15802.0
sogbred-finned-blue-eye_inst_mdp__17,3003055,198.71062421333338,75,15802.0
sogbred-finned-blue-eye_inst_mdp__17,2995849,204.93026154666666,75,15802.0
sogbred-finned-blue-eye_inst_mdp__17,2988789,190.18678218666676,75,15802.0
sogbred-finned-blue-eye_inst_mdp__18,2787047,197.75753439999994,75,-586.1333333333333
sogbred-finned-blue-eye_inst_mdp__18,2779656,174.1839930666667,75,-586.1333333333333
sogbred-finned-blue-eye_inst_mdp__18,2772754,182.90577194666662,75,-586.1333333333333
sogbred-finned-blue-eye_inst_mdp__18,2765913,177.4928692266667,75,-586.1333333333333
sogbred-finned-blue-eye_inst_mdp__18,2759157,180.12771317333338,75,-586.1333333333333
sogbred-finned-blue-eye_inst_mdp__19,3238589,189.72554474666674,75,132.66666666666666
sogbred-finned-blue-eye_inst_mdp__19,3231387,190.36042431999996,75,132.66666666666666
sogbred-finned-blue-eye_inst_mdp__19,3224006,179.0356190933333,75,132.66666666666666
sogbred-finned-blue-eye_inst_mdp__19,3216646,176.45602848,75,132.66666666666666
sogbred-finned-blue-eye_inst_mdp__19,3209248,197.63105706666673,75,132.66666666666666
sogbred-finned-blue-eye_inst_mdp__20,3433119,199.15345941333328,75,-1011.0666666666667
sogbred-finned-blue-eye_inst_mdp__20,3425339,170.64445653333325,75,-1011.0666666666667
sogbred-finned-blue-eye_inst_mdp__20,3417726,195.94531008,75,-1011.0666666666667
sogbred-finned-blue-eye_inst_mdp__20,3409733,204.10806015999998,75,-1011.0666666666667
sogbred-finned-blue-eye_inst_mdp__20,3402823,189.46272181333333,75,-1011.0666666666667
sogbtamarisk_inst_mdp__15,3605659,34.33056693333333,75,-1163.6430666666665
sogbtamarisk_inst_mdp__15,3597062,38.48782176,75,-1163.6430666666665
sogbtamarisk_inst_mdp__15,3585963,35.909487893333335,75,-1163.6430666666665
sogbtamarisk_inst_mdp__15,3572166,37.999224639999994,75,-1163.6430666666665
sogbtamarisk_inst_mdp__15,3560691,37.898851626666676,75,-1163.6430666666665
sogbtamarisk_inst_mdp__20,3822890,14.146436373333332,75,-425.35319999999996
sogbtamarisk_inst_mdp__20,3818904,12.044663040000001,75,-425.35319999999996
sogbtamarisk_inst_mdp__20,3807461,10.7337296,75,-425.35319999999996
sogbtamarisk_inst_mdp__20,3803772,9.944997013333332,75,-425.35319999999996
sogbtamarisk_inst_mdp__20,3794773,8.307200213333333,75,-425.35319999999996
sogbmanufacturer_inst_mdp__06,2789373,190.10443093333333,75,863.5809973333332
sogbmanufacturer_inst_mdp__06,2781745,191.74343957333323,75,863.5809973333332
sogbmanufacturer_inst_mdp__06,2774097,183.8652200533333,75,863.5809973333332
sogbmanufacturer_inst_mdp__06,2765410,184.2442913066667,75,863.5809973333332
sogbmanufacturer_inst_mdp__06,2758330,198.73436362666666,75,863.5809973333332
sogbmanufacturer_inst_mdp__07,3371672,183.8896629333333,75,981.7329213333331
sogbmanufacturer_inst_mdp__07,3364297,202.10874944,75,981.7329213333331
sogbmanufacturer_inst_mdp__07,3356962,195.04580394666667,75,981.7329213333331
sogbmanufacturer_inst_mdp__07,3349662,220.2822216533334,75,981.7329213333331
sogbmanufacturer_inst_mdp__07,3342386,211.05138549333333,75,981.7329213333331
sogbmanufacturer_inst_mdp__08,2854278,193.22430880000005,75,3267.880765199999
sogbmanufacturer_inst_mdp__08,2847134,175.86255285333337,75,3267.880765199999
sogbmanufacturer_inst_mdp__08,2839886,194.85291093333333,75,3267.880765199999
sogbmanufacturer_inst_mdp__08,2831866,178.68533013333337,75,3267.880765199999
sogbmanufacturer_inst_mdp__08,2824919,181.37498239999996,75,3267.880765199999
sogbmanufacturer_inst_mdp__09,3507908,202.20671605333342,75,1800.4106831999995
sogbmanufacturer_inst_mdp__09,3500047,193.47937706666667,75,1800.4106831999995
sogbmanufacturer_inst_mdp__09,3492039,202.71519328,75,1800.4106831999995
sogbmanufacturer_inst_mdp__09,3483424,202.17437013333327,75,1800.4106831999995
sogbmanufacturer_inst_mdp__09,3476192,216.9763268266666,75,1800.4106831999995
sogbmanufacturer_inst_mdp__11,3551510,55.36063658666666,75,-12.373333333333333
sogbmanufacturer_inst_mdp__11,3591656,51.57632021333333,75,-12.373333333333333
sogbmanufacturer_inst_mdp__11,3572813,57.31158986666665,75,-12.373333333333333
sogbmanufacturer_inst_mdp__11,3561940,51.42338346666667,75,-12.373333333333333
sogbmanufacturer_inst_mdp__11,3584057,55.67228768,75,-12.373333333333333
